Mouse ,Cell Count ,Tissue,Infection,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_WTM6IDP_Freq ,CD8p_WTM6IDP_Num,CD8p_WTM6IDP_Num,CD8p_WTM6VDP_Freq,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,,,,,,,,,,,,,,,,,,,,
77,2.48E+07,Lungs,WT Challenge,Tetramer_Stains_M4_L_MMW_024.fcs,59.3,90.7,88.3,87.7,14.2,12.4534,1.47E+06,0,0.00E+00,0.011,1.61E+02,3.81,5.59E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,3.81,5.59E+04,0,0.00E+00,0.011,1.61E+02,,,,,,,,,,,,,,,,,,,,
70,4.66E+07,Spleen ,WT Challenge,Tetramer_Stains_M1_S_MMW_026.fcs,79,88.6,88.3,69.5,16.3,11.3285,3.26E+06,0.35,1.14E+04,0,0.00E+00,22.1,7.21E+05,0,0.00E+00,0,0.00E+00,0.058,1.89E+03,0,0.00E+00,22.1,7.21E+05,0.29,9.46E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
72,5.01E+07,Spleen ,WT Challenge,Tetramer_Stains_M2_S_MMW_027.fcs,82.7,91.1,92.2,61,20.3,12.383,4.31E+06,0.19,8.19E+03,0,0.00E+00,31.6,1.36E+06,0,0.00E+00,0,0.00E+00,0.094,4.05E+03,0,0.00E+00,31.5,1.36E+06,0.094,4.05E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
76,6.68E+07,Spleen ,WT Challenge,Tetramer_Stains_M3_S_MMW_028.fcs,80.6,91.6,93.1,57,24,13.68,6.28E+06,0.092,5.78E+03,0.013,8.17E+02,11.5,7.22E+05,0,0.00E+00,0,0.00E+00,0.013,8.17E+02,0,0.00E+00,11.5,7.22E+05,0.079,4.96E+03,0.013,8.17E+02,,,,,,,,,,,,,,,,,,,,
77,8.14E+07,Spleen ,WT Challenge,Tetramer_Stains_M4_S_MMW_029.fcs,86.3,93.8,93.2,50,29,14.5,8.90E+06,0.071,6.32E+03,0.018,1.60E+03,24.9,2.22E+06,0,0.00E+00,0,0.00E+00,0.035,3.12E+03,0.018,1.60E+03,24.9,2.22E+06,0.035,3.12E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
1842,4.32E+07,Lungs,T8A Challenge,Tetramer Stains_M1_L_MMW_024.fcs,6.72,87.5,71.4,100,33.3,33.3,6.04E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,50,3.02E+05,50,3.02E+05,,,,,,,,,,,,,,,,,,,,
1882,1.94E+06,BAL,T8A Challenge,Tetramer Stains_M2_BAL_MMW_029.fcs,31.7,96.6,72.7,85.9,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,17.2,0.00E+00,0,0.00E+00,1.49,0.00E+00,,,,,,,,,,,,,,,,,,,,
1882,1.07E+07,Lungs,T8A Challenge,Tetramer Stains_M2_L_MMW_025.fcs,65.1,89.8,84.2,75.6,26.1,19.7316,1.04E+06,0.58,6.03E+03,0.027,2.81E+02,7.41,7.70E+04,0,0.00E+00,0,0.00E+00,0.055,5.72E+02,0,0.00E+00,8.65,8.99E+04,0.11,1.14E+03,0.88,9.15E+03,,,,,,,,,,,,,,,,,,,,
1902,3.99E+07,Lungs,T8A Challenge,Tetramer Stains_M3_L_MMW_026.fcs,70.6,95,90.4,89.4,5.98,5.34612,1.29E+06,10.1,1.31E+05,0.062,8.02E+02,28.6,3.70E+05,0,0.00E+00,0,0.00E+00,3.48,4.50E+04,0,0.00E+00,24.5,3.17E+05,0.032,4.14E+02,16.6,2.15E+05,,,,,,,,,,,,,,,,,,,,
1916,3.26E+07,Lungs,T8A Challenge,Tetramer Stains_M4_L_MMW_027.fcs,72.9,94.7,89.4,90.7,6.43,5.83201,1.17E+06,6.94,8.14E+04,0,0.00E+00,11.8,1.38E+05,0,0.00E+00,0,0.00E+00,1.04,1.22E+04,0,0.00E+00,11.1,1.30E+05,0,0.00E+00,15.5,1.82E+05,,,,,,,,,,,,,,,,,,,,
1924,5.70E+05,BAL ,T8A Challenge,Tetramer Stains_M5_BAL_MMW_030.fcs,61.4,98,83.5,90.9,0.038,0.034542,9.89E+01,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,10.5,1.04E+01,0.038,3.76E-02,0.11,1.09E-01,,,,,,,,,,,,,,,,,,,,
1924,5.31E+07,Lungs,T8A Challenge,Tetramer Stains_M5_L_MMW_028.fcs,66.2,95.1,89.4,92.3,3.53,3.25819,9.74E+05,11.6,1.13E+05,0,0.00E+00,15.8,1.54E+05,0,0.00E+00,0,0.00E+00,2.45,2.39E+04,0,0.00E+00,8.94,8.71E+04,0.022,2.14E+02,18.5,1.80E+05,,,,,,,,,,,,,,,,,,,,
177,5.20E+05,BAL,N3A Challenge,MMW_BAL_MMW_M_003_029.fcs,64.4,89.9,71.3,95.5,0.92,0.8786,1.89E+03,0.54,1.02E+01,0,0.00E+00,1.08,2.04E+01,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.08,2.04E+01,0,0.00E+00,0.54,1.02E+01,,,,,,,,,,,,,,,,,,,,
179,1.70E+05,BAL,N3A Challenge,MMW_BAL_MMW_M_005_030.fcs,37.3,94.4,45.1,89,10.4,9.256,2.50E+03,0.76,1.90E+01,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.76,1.90E+01,,,,,,,,,,,,,,,,,,,,
175,3.44E+07,Lungs,N3A Challenge,MMW_L_MMW_M_001_024.fcs,60.4,89.7,62.3,87.9,15.1,13.2729,1.54E+06,0.63,9.71E+03,0.05,7.71E+02,0.55,8.48E+03,0,0.00E+00,0.012,1.85E+02,0.025,3.85E+02,0.012,1.85E+02,0.51,7.86E+03,0.025,3.85E+02,0.6,9.25E+03,,,,,,,,,,,,,,,,,,,,
176,4.12E+07,Lungs,N3A Challenge,MMW_L_MMW_M_002_025.fcs,60.8,89.1,70.9,90.6,8.17,7.40202,1.17E+06,2.5,2.93E+04,0.12,1.41E+03,0.82,9.60E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.02,2.34E+02,0.8,9.37E+03,0.098,1.15E+03,2.5,2.93E+04,,,,,,,,,,,,,,,,,,,,
177,5.90E+07,Lungs,N3A Challenge,MMW_L_MMW_M_003_026.fcs,49.3,84.8,62.4,70.8,13.6,9.6288,1.48E+06,2.7,4.00E+04,0.028,4.15E+02,1.1,1.63E+04,0,0.00E+00,0,0.00E+00,0.083,1.23E+03,0,0.00E+00,1.02,1.51E+04,0.028,4.15E+02,2.62,3.88E+04,,,,,,,,,,,,,,,,,,,,
